"Name","Team","Season","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Islanders","NYI","17-18",82,4011.9,48.21,46.48,46.49,47.07,46.84,2.65,2.84,29.84,34.35,40.69,46.84,55.57,62.5,2.39,2.71,-0.2,-4.51,-6.15,-6.93,-0.32,8.87,91.72
"Rangers","NYR","17-18",82,3991.18,45,45.29,45.24,44.94,46.76,2.24,2.74,29.4,35.52,39.75,48.12,52.09,63.83,2.49,2.84,-0.5,-6.12,-8.37,-11.73,-0.35,7.62,92.29
"Senators","OTT","17-18",82,3983.95,42.91,46.87,46.84,46.22,45.7,2.26,3.01,29.14,33.02,40.32,45.76,54.34,63.24,2.14,2.54,-0.75,-3.89,-5.44,-8.89,-0.4,7.76,90.89
"Flyers","PHI","17-18",82,3993.68,52.01,51.22,50.22,49.81,50.38,2.36,2.18,30.2,28.76,41.19,40.83,55.05,55.47,2.31,2.27,0.18,1.44,0.36,-0.41,0.04,7.83,92.41
"Penguins","PIT","17-18",82,3935.23,47.82,53.22,53.07,52.26,52.51,2.45,2.67,34.01,29.89,46.02,40.68,60.53,55.29,2.68,2.42,-0.22,4.12,5.33,5.24,0.26,7.2,91.06
"Sharks","S.J","17-18",82,4012.37,48.81,51.74,51.96,51.21,51.4,2.35,2.47,31.38,29.27,44.57,41.21,61.26,58.37,2.52,2.38,-0.11,2.11,3.36,2.89,0.14,7.5,91.57
"Blues","STL","17-18",82,3988.98,52.42,52.21,52.83,51.86,51.89,2.27,2.06,31.58,28.91,43.69,39,58.92,54.69,2.27,2.11,0.21,2.67,4.69,4.24,0.17,7.19,92.87
"Lightning","T.B","17-18",82,3901.28,57.4,50.99,52.19,52.49,53.48,3.03,2.25,32.66,31.39,45.61,41.78,60.73,54.97,2.51,2.18,0.78,1.27,3.83,5.77,0.33,9.27,92.84
"Maple Leafs","TOR","17-18",82,4047.92,54.46,49,49.23,50.56,50.97,2.79,2.33,31.17,32.44,43.86,45.25,59.68,58.35,2.62,2.52,0.46,-1.28,-1.38,1.33,0.1,8.94,92.82
"Canucks","VAN","17-18",82,3970.45,45.47,47.33,47.07,46.95,46.14,2.07,2.49,28.73,31.97,39.39,44.29,51.95,58.71,2.13,2.48,-0.41,-3.24,-4.9,-6.76,-0.36,7.22,92.22
